id,latitude,longitude,elevation,country,name,state,21-Mar,21-Jun,21-Sep,21-Dec
MX000004034,19.72,-89.85,65,MX,XCUPIL,,33.93921569,33.4,32.6,29.276
MX000005002,28.33,-100.83,374,MX,ALLENDE,,27.80465116,37.94090909,34.86046512,20.97173913
MX000005007,25.78,-103.12,1105,MX,CONCORDIA,,28.178125,36.00882353,33.31176471,23.23939394
MX000005016,25.37,-101.47,1405,MX,GENERAL CEPEDA,,26.60571429,32.27142857,28.09090909,20.68181818
MX000005023,29.15,-100.98,330,MX,PALESTINA,,24.15,35.86363636,32.43548387,17.734375
MX000005024,25.45,-102.17,1521,MX,PARRAS,,27.47083333,32.95,29.27391304,20.27391304
MX000005030,27.55,-100.75,240,MX,PRESA  CARRANZA,,25.30555556,34.6875,32.52941176,21.0625
MX000005031,27.08,-101,370,MX,PROGRESO,,27.90243902,37.0525,33.50487805,22.20833333
MX000005033,27.87,-101.28,340,MX,SABINAS,,27.012,36.19444444,32.59803922,20.2673913
MX000005042,28.5,-100.92,400,MX,ZARAGOZA,,24.30769231,35.22413793,31.13333333,18.69642857
MX000005044,26.98,-102.07,0,MX,CUATRO CIENEGAS,,26.31458333,34.73137255,32.17692308,19.56792453
MX000005045,27.62,-100.72,305,MX,VILLA JUAREZ,,28.75641026,38.1972973,34.44594595,20.95
MX000005047,26.883,-101.433,615,MX,MONCLOVA,,28.52093023,36.84186047,32.87111111,22.13888889
MX000005048,25.367,-101.017,1790,MX,SALTILLO,,24.05818182,30.1637931,26.73396226,18.95098039
MX000005050,27.07,-101.55,496,MX,S BUENAVENTURA,,25.72222222,37.07,34.26363636,23.93157895
MX000007005,17.25,-92.67,242,MX,ALMANDRO,,32.0625,31.26,30.76923077,27.3
MX000007009,15.78,-91.97,675,MX,AQUESPALA,,34.92682927,32.84146341,32.06097561,31.03658537
MX000007019,14.8,-92.25,0,MX,CAHUACAN,,35.94444444,33.87837838,32.52777778,34.65277778
MX000007044,16.17,-91.1,145,MX,EL COLORADO,,30.375,30.92105263,30.42857143,26.76190476
MX000007076,16.75,-92.78,1950,MX,HUISTAN,,23.55769231,22.47916667,22.46,18.84615385
MX000007083,16.77,-92.9,1140,MX,IXTAPA,,28.875,27.23333333,26,25.0862069
MX000007086,16.42,-92.42,0,MX,LA ANGOSTURA,,34.53571429,31.63793103,30.55172414,29.70689655
MX000007089,16.32,-91.97,189,MX,LA CATARATA,,31.74074074,31.96296296,31.46153846,27.35185185
MX000007096,16.33,-91.77,1090,MX,LA PIMIENTA,,27.24137931,26.83333333,27.27586207,22.5862069
MX000007107,16.77,-91.6,454,MX,LAS TASAS,,31.73214286,31.01785714,30.53448276,26.375
MX000007108,16.62,-91.68,673,MX,LIVINGSTON,,30.46428571,29.25,28.62068966,24.65517241
MX000007169,17.3,-92.32,1350,MX,TUMBALA,,21.32142857,22.26,21.90740741,18.62068966
MX000007179,16.73,-92.03,5,MX,ALTAMIRANO,,28.02083333,26.7173913,26.58,22.04
MX000008004,28.8,-107.25,2020,MX,BACHINIVA,,19.375,30.31034483,26.15,14.28333333
MX000008010,29.85,-107.48,1574,MX,BUENAVENTURA,,20.28571429,36.28571429,26.57142857,14.92857143
MX000008028,28.52,-108.52,2010,MX,CIUDAD GUERRERO,,20.44415584,30.52337662,25.38701299,16.24
MX000008029,27.13,-104.93,1377,MX,CIUDAD JIMENEZ,,27.00961538,35.77884615,30.19148936,20.834
MX000008031,29.57,-104.42,841,MX,OJINAGA,,26.6203125,40.41343284,34.7109375,18.3015873
MX000008038,27.75,-107.63,2300,MX,CREEL,,18.09714286,27.84722222,23.01842105,13.43714286
MX000008044,28.2,-105.43,5,MX,CIUDAD DELICIAS,,26.60634921,36.36949153,30.37142857,19.85967742
MX000008066,30.12,-107.63,1431,MX,GALEANA,,23.1,35.98780488,30.1097561,15.9047619
MX000008071,26.82,-107.7,1320,MX,GUACHOCHIC,,17.58387097,25.328125,21.30645161,14.66129032
MX000008085,27.55,-105.4,1317,MX,LA BOQUILLA P,,28.63333333,38.21489362,32.96530612,21.05
MX000008092,28.53,-105.42,1096,MX,LAS BURRAS,,27.36363636,37.83695652,32.02222222,20.25957447
MX000008097,29.2,-108.1,2092,MX,MADERA,,17.68444444,28.74090909,23.7893617,13.89318182
MX000008102,28.27,-105.48,1155,MX,MEOQUI,,26.52820513,36.975,30.95238095,19.02439024
MX000008103,29.63,-108.23,2165,MX,MESA DEL HURACAN,,17.29411765,28.95454545,23.82352941,13.54545455
MX000008108,27.7,-105.22,1222,MX,OJO CALIENTE,,25.36666667,34.52272727,29.22826087,19.52
MX000008121,31.35,-106.48,1275,MX,SAMALAYUCA,,23.375,37.78,31.128,15.4
MX000008142,28.95,-107.817,1932,MX,TEMOSACHIC,,22.02173913,32.22,27.75,16.23333333
MX000008155,30.617,-106.517,1181,MX,VILLA AHUMADA,,24.48965517,36.09649123,30.76491228,15.5
MX000008157,28.83,-105.18,1262,MX,VILLA DE ALDAMA,,25.1969697,36.69117647,29.41176471,17.25
MX000008161,27.02,-107.75,501,MX,BATOPILAS,,30.45454545,39.39583333,33.94,23.02
MX000008171,26.75,-104.35,1263,MX,ESCALON,,26.66666667,34.57142857,29.77777778,22.1875
MX000008172,26.1,-106.97,2279,MX,GUADALUPE Y CALVO,,20.0047619,28.95116279,25.13023256,17.29268293
MX000008184,30.367,-107.95,1487,MX,NUEVA CASAS GRANDES,,23.61612903,35.5171875,30.5125,16.18965517
MX000010004,25.28,-103.75,0,MX,CAON FERNANDEZ,,29.91463415,34.64473684,29.80769231,24.01219512
MX000010009,25.533,-103.517,1140,MX,LERDO-IN-DURANGO,,28.7,33.93333333,30.83333333,21.86666667
MX000010012,24.78,-103.67,1500,MX,CUENCAME,,29.8974359,34.87631579,30.85135135,24.20277778
MX000010018,24.95,-106.28,2035,MX,EL CANTIL,,19.19736842,23.65853659,21.4,14.9875
MX000010023,23.95,-104.73,1889,MX,EL PUEBLITO,,24.80882353,29.41176471,25.25882353,19.16666667
MX000010025,23.78,-105.37,2560,MX,EL SALTO,,20.18833333,24.20535714,21.88688525,17.6328125
MX000010027,24.47,-104.3,1961,MX,FCOIMADERO,,25.68474576,29.45438596,25.73684211,20.64237288
MX000010029,25.93,-105.97,2230,MX,GUANACEVI,,21.67272727,28.45571429,23.63380282,17.44142857
MX000010049,25.23,-104.12,1264,MX,NAZAS,,30.296875,34.953125,31.18181818,23.91666667
MX000010060,25.18,-104.53,1810,MX,RODEO,,29.13235294,34.79705882,31.42571429,23.95857143
